Регион,Год,ПотрЭлектр/душ,ВРП,ИнвесВОК,СрДушДох,ИзносОФ,УрИнАк,УбыточОрг,ИндПроиз
Калининградская область,2012,4.4586387434555,270864.139401333,77036.0831378437,19859.4696443652,31.5,5.1,41.7,101.9
Калужская область,2012,5.24363817097416,291172.121122267,97288.5367364174,21172.1381251759,39.1,10.6,29.2,110.2
Камчатский край,2012,5.3309375,130054.926395796,115147.360795721,32422.7073285165,30.3,23.5,36.3,105.2
Карачаево-Черкесская Республика,2012,2.89279661016949,59929.6447217791,38987.0704701136,13665.6342310219,35.6,2.8,32.7,124.7
Кемеровская область,2012,13.8787016776076,733216.600469175,99527.0141690908,18894.8726658534,43.6,6.1,34.2,102.6
Кировская область,2012,5.73055344958302,212829.289781364,38982.98751994,17080.0013136905,51.3,8.7,27.5,100.8
Костромская область,2012,5.41714719271624,133553.708473304,32723.8249038191,16196.0426011073,45.3,6,41.1,103.7
Краснодарский край,2012,4.00255159474672,1489757.05380501,153567.921929248,22135.7143661443,38,7.4,26.4,108.3
Красноярский край,2012,18.9114155251142,1207765.24200056,137055.450689688,22991.0924275124,38.1,9.5,28.5,109.3
Курганская область,2012,4.89277652370203,149074.124894436,41484.8152388102,16463.4758374777,63.2,9.2,35.9,110.5
Курская область,2012,7.37140303842717,253360.429933377,60710.4068687248,19257.23449376,49.1,13,29.9,103.3
Ленинградская область,2012,11.5568246716162,686003.916505583,193730.882049357,18339.5914422445,32.6,10.1,33,105.7
Липецкая область,2012,9.8171256454389,299383.648437647,81835.5910669044,20240.2047480529,51.2,14.1,26.1,107.4
Магаданская область,2012,14.2184210526316,80044.0946044853,183433.681711551,37379.4088392606,47.6,24.6,37.7,110
Московская область,2012,5.92536889897843,2405961.98819555,75352.8869287792,31205.9881767852,39.7,8.5,29,107.9
Мурманская область,2012,16.0923076923077,289732.472891058,94304.920897063,29531.9786056113,37,9,36.8,102.7
Нижегородская область ,2012,6.80227963525836,859660.565731444,79794.115980107,22182.6682931407,50.2,14.7,28.1,104.1
Новгородская область,2012,6.86054313099042,174143.643107816,73165.4463732758,19952.3567608145,42.4,7.5,36.7,104.4
Новосибирская область ,2012,5.96583025830258,743254.125175941,61350.4093084358,21157.8477995684,42.8,8.6,28.6,109
Омская область,2012,5.50764944275583,501700.260185793,56199.7676644459,19899.2784085578,40.7,8.2,29.3,103.1
Оренбургская область,2012,8.17113095238095,641598.464933846,76433.8479872384,16885.0404429014,56.9,12.7,28.2,100.6
Орловская область,2012,3.66726804123711,149133.02145069,53004.859153608,17175.95064277,46.1,10.1,27.7,106.4
Пензенская область,2012,3.36749452154858,244938.732757812,53797.9722248288,16254.224641081,53.2,11.4,33.9,110
Пермский край,2012,10.1972285497342,878184.094079009,62901.9303744018,23812.7861499484,59.6,14.1,23.8,102.3
Приморский край,2012,6.50595788392399,569050.258553064,106422.096274749,22128.5692033405,24.9,11.7,27.3,115.3
Псковская область,2012,3.23459214501511,109777.770948672,51733.0201745332,16631.8975321385,39.9,8.1,37.3,99.6
Республика Адыгея,2012,2.81730337078652,66654.5698789528,38910.5151543586,17425.0106033593,43.6,6.8,25.1,108.7
Республика Алтай,2012,2.68380952380952,31075.9462137562,52365.8774514404,14579.1943323637,25.3,18.5,29.7,104.4
Республика Башкортостан,2012,6.27670524501354,1173220.0130243,58713.8442338369,21708.0253354603,52.1,13.1,21,105.7
Республика Бурятия,2012,5.39927983539095,168154.057276907,43267.0229895843,18054.8056676363,27.8,10.2,31.3,103.2
Республика Дагестан,2012,1.22647657841141,382480.871108192,53058.9582434081,21159.8892746552,39.7,6.5,40.8,100.4
Республика Ингушетия ,2012,1.55226244343891,38189.7723749648,34566.2561696538,12577.5280097588,54.2,7.06391133366115,45.8,110
Республика Калмыкия,2012,1.66443661971831,36642.232185418,49443.5058646899,10401.3155672328,48.2,1.2,32.4,89.8
Республика Карелия,2012,13.707535321821,164176.957586563,54285.8847705733,20473.9536454912,41.5,10.9,43.6,102
Республика Коми,2012,10.1942045454545,488985.647123956,267767.017547152,27600.743173501,44.2,7.6,32,102.1
Республика Марий Эл,2012,4.53811594202899,119631.562897626,46736.5098995965,12791.8828938726,60.6,10.6,28.4,110
Республика Мордовия,2012,4.16593406593407,137100.975584123,61869.9647180257,13352.2678051985,57.3,13.1,25.3,112.7
Республика Саха (Якутия),2012,7.45334728033473,552532.173257014,219165.620155766,29296.1882330862,32.6,6.7,33.1,109
Республика Северная Осетия – Алания,2012,3.09320113314448,99469.6487191517,31522.4168152388,16500.2223890401,42.4,4.5,39.6,102.6
Республика Татарстан,2012,7.08498168498169,1466800.87060148,126032.505958525,24501.7839917425,43.7,19.1,25.1,106.9
Республика Тыва,2012,2.3141935483871,38144.0433330206,38462.4113728066,12263.140846392,37.5,4.5,30.7,105.7
Республика Хакасия,2012,33.1275797373358,133347.621563292,73080.7251571737,16344.0495449001,29.4,6.8,35.8,102.9
Ростовская область,2012,4.13305124588622,861053.668330675,49850.780144506,18482.4946983204,40.6,8.7,23.7,107.8
Рязанская область,2012,5.50236013986014,259146.480698133,59385.4895373933,18018.0591160739,51.9,11,22.6,100.8
Самарская область,2012,8.21341425459073,956874.588627194,67660.6088017266,25208.1343717744,53.7,6.3,23.1,102.2
Саратовская область,2012,5.34410707151418,488194.06515905,47918.5239748522,14576.1321197335,54,7,25.9,106.6
Сахалинская область,2012,8.11153846153846,655197.547077039,338684.799849864,33399.553157549,29,3.7,31.8,94.7
Свердловская область ,2012,12.2610982391103,1515671.74270433,83245.229614338,28429.5820587407,55.2,13.3,26.7,109.6
Смоленская область,2012,6.18964102564103,206002.188796096,58910.8465797129,18684.6007319133,44.6,6.7,31.6,105.9
Ставропольский край,2012,3.72662128269437,440706.904870039,42206.4766819931,17442.3631415971,51.7,8.8,22.7,102.9
Тамбовская область,2012,3.18708178438662,207548.095805574,78432.4520972131,17810.849394764,55.9,8.5,26.7,112.9
Тверская область,2012,5.22031484257871,273622.886759876,61377.9692221075,17640.3862250164,38.7,9.3,36.9,111
Томская область,2012,8.85178571428571,379176.335385193,104194.846955053,18400.8356948485,48.6,11.4,26.5,103.9
Тульская область,2012,6.61697127937337,317694.659228676,55770.0371586751,19741.064089331,44.5,13.1,32.7,108.4
Тюменская область,2012,26.6849330675021,4721388.33302055,426727.495918176,34167.1477901849,58.7,8.2,29.6,99.3
Удмуртская Республика,2012,5.9435441370224,380513.297419536,43186.3847236558,17040.192549498,61,13,30.6,102.6
Ульяновская область,2012,4.66915227629513,245544.642563573,58279.0100403491,16714.5772731538,46.6,6.3,30.2,102.5
Хабаровский край ,2012,6.37995529061103,447077.225804635,136810.473679272,26221.7267523693,29.4,13.6,29,109.6
Челябинская область,2012,10.4189956958393,859432.737111758,56512.1133527259,20226.9351599887,45.5,11.5,28.6,101.7
Чеченская Республика ,2012,1.76467924528302,104410.324650464,42275.8868349442,15590.7452378718,53.1,0.993112830012349,50,99.7
Чувашская Республика,2012,4.40554662379421,222338.174514404,53490.7302242657,14044.3278596228,54.6,20.9,31.7,110.3
Чукотский автономный округ,2012,9.42941176470588,46580.2349817022,346714.942103782,49539.4551937694,44.4,17.9,36.8,93.5
Ярославская область,2012,6.51179245283019,334066.574908511,65047.5206906259,18990.8219949329,47.8,12.3,33.7,104.1
Алтайский край,2013,4.52300292764534,425138.334122288,40354.9585798817,16240.8836291913,41.1,11.3,26.7,101.3
Амурская область,2013,9.34759556103576,215272.319921105,128015.475345168,23535.7948717949,26.9,6.4,33.1,106.9
Архангельская область,2013,7.71895973154362,510945.289546351,134238.627218935,25892.8481262327,41,5.4,34.3,102.4
Астраханская область,2013,3.98810226155359,279860.074556213,123405.581854043,20382.8402366864,47.7,9,38,115.5
Белгородская область,2013,9.52033678756477,581351.706508876,85711.1203155819,23751.3727810651,43.3,9.6,27,102.1
Брянская область,2013,3.33011272141707,224265.18816568,49821.9960552268,19112.8717948718,45.6,7.8,37.4,96.8
Владимирская область,2013,4.94210898796886,313294.369230769,47104.2840236686,18449.7909270217,43.7,10.7,30.2,108
Волгоградская область,2013,6.82308291163877,620652.070216963,55794.83234714,18458.9861932939,51.5,8.1,36.7,101.5
Вологодская область,2013,12.1923721709975,353739.441420118,64494.5759368836,19405.0769230769,43.1,7.8,32.5,102.5
Воронежская область,2013,4.55813653928725,624992.440236686,95159.7672583827,22153.4398422091,43,10,27.8,106.1
г. Москва,2013,4.52662702345557,12071236.3968442,119874.599605523,57149.6015779093,33.2,18.3,31.5,95.3
г. Санкт-Петербург,2013,4.70189010132502,2545477.84891519,95563.3372781065,31159.6923076923,36.8,18,26.8,99.6
Еврейская автономная область,2013,6.64970760233918,39262.4587771203,85338.2011834319,20855.8856015779,27.2,6.3,37.8,102.6
Забайкальский край,2013,7.3145871559633,234213.035897436,53723.8540433925,19487.8343195266,35,2.2,34.3,107.5
Ивановская область,2013,3.32147651006711,161661.669822485,33147.9132149901,18139.1952662722,42.2,8.4,33.2,106.2
Иркутская область,2013,23.395947063689,822667.268244576,84457.4990138067,19251.8224852071,40.7,8.7,27.4,102.5
Кабардино-Балкарская Республика,2013,1.72200232828871,113379.165680473,26260.6587771203,15307.0532544379,33.8,9.3,38.8,93.5
